,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
42,4/27/20,MT,Cascade,not detected,NA,229058.6897,0,14,81366,3.91,14800960920,41000,d5fe332feaf792692f289aaaae041e4ac352f625
43,4/15/20,CO,Boulder,not detected,NA,2357220.84,7,300,326196,0.132,499674384,1575,86519772d1b661352c90f8aab4ac87cdffffbf7b
44,4/8/20,CO,Boulder,not detected,NA,unmeasured,1,207,326196,0.113,427751556,1575,86519772d1b661352c90f8aab4ac87cdffffbf7b
45,4/27/20,CO,Boulder,not detected,NA,unmeasured,15,515,326196,0.197,745726164,1575,86519772d1b661352c90f8aab4ac87cdffffbf7b
46,5/12/20,CO,Boulder,not detected,NA,257509.8062,11,788,326196,0.167,632163804,1575,86519772d1b661352c90f8aab4ac87cdffffbf7b
47,4/6/20,CO,Denver,quantifiable,160.5241073,8457281.223,22,847,727211,84.4,3.19E+11,1400000,0877f152d15c74f69201804fb9dec585c957b6fb
48,4/13/20,CO,Denver,quantifiable,77.45937044,6000611.662,0,927,727211,82.1,3.11E+11,1400000,0877f152d15c74f69201804fb9dec585c957b6fb
49,4/20/20,CO,Denver,quantifiable,125.3065378,2162782.128,96,1880,727211,88.7,3.36E+11,1400000,0877f152d15c74f69201804fb9dec585c957b6fb
50,4/27/20,CO,Denver,quantifiable,363.6030234,unmeasured,99,2682,727211,87.8,3.32E+11,1400000,0877f152d15c74f69201804fb9dec585c957b6fb
51,5/4/20,CO,Denver,quantifiable,47.51727135,449846.9415,83,3428,727211,87.3,3.30E+11,1400000,0877f152d15c74f69201804fb9dec585c957b6fb
52,4/12/20,MT,Park,not detected,NA,1625123.132,0,7,16606,0.616,2331813792,7800,cd8dcb352c692bc72b3af322dd6c5cc118d27a47
53,5/3/20,MT,Park,not detected,NA,unmeasured,0,8,16606,0.7,2649788400,7800,cd8dcb352c692bc72b3af322dd6c5cc118d27a47
54,4/26/20,MT,Park,not detected,NA,3010098.949,0,7,16606,0.583,2206895196,7800,cd8dcb352c692bc72b3af322dd6c5cc118d27a47
