lon,lat,value,value_whole,shapeName,EVP,unvac,cum_per,cum_prop
31.024583224399997,-24.61958303303,17262.0,148967.14,Ehlanzeni,87.90843492900001,2087.0,43.01775,43.0
27.5745832382,-32.861249666730004,17036.0,189780.45,Buffalo City,93.18359855700001,1161.0,43.31691,43.3
29.682916563099997,-23.85291636943,17007.0,169380.28,Capricorn,84.429308124,2648.0,43.61556,43.6
30.2579165608,-29.41124968053,16688.0,198185.16,Umgungundlovu,94.460073687,925.0,43.908604,43.9
25.2745832474,-33.62791633033,16572.0,198445.62,Cacadu,94.088183364,980.0,44.199615,44.2
30.2579165608,-23.85291636943,16446.0,150806.84,Mopani,89.892208224,1662.0,44.48841,44.5
29.299583231299998,-23.66124970353,16132.0,160684.89,Capricorn,84.429308124,2512.0,44.771698,44.8
27.7662499041,-25.57791636253,16111.0,166089.58,Bojanala,90.34422698700001,1556.0,45.05461,45.1
31.791249888,-25.57791636253,16082.0,144379.92,Ehlanzeni,87.90843492900001,1945.0,45.337017,45.3
29.874583229,-27.68624968743,15996.0,161369.06,Amajuba,92.774776248,1156.0,45.617912,45.6
31.024583224399997,-29.60291634643,15326.0,182873.05,eThekwini,90.265229082,1492.0,45.88704,45.9
22.399583258899998,-33.81958299623,14982.0,181641.2,Eden,93.251039427,1011.0,46.15013,46.2
27.7662499041,-26.72791635793,14726.0,163978.7,Sedibeng,91.91230775999999,1191.0,46.408726,46.4
31.791249888,-28.83624968283,14675.0,152152.52,Uthungulu,90.292884192,1425.0,46.666424,46.7
31.024583224399997,-29.41124968053,14561.0,154898.33,iLembe,75.408364836,3581.0,46.92212,46.9
25.466249913299997,-33.62791633033,14315.0,171420.17,Nelson Mandela Bay,91.50704923500001,1216.0,47.173496,47.2
31.024583224399997,-25.00291636483,14293.0,143053.11,Ehlanzeni,87.90843492900001,1728.0,47.424488,47.4
29.299583231299998,-25.57791636253,14290.0,169227.02,Nkangala,86.47099272,1933.0,47.675423,47.7
30.641249892599998,-29.986249678230003,14138.0,157406.23,Umgungundlovu,94.460073687,783.0,47.92369,47.9
28.916249899500002,-25.00291636483,13823.0,130418.15,Sekhukhune,89.77737371399999,1413.0,48.166428,48.2
26.424583242799997,-26.72791635793,13736.0,147124.66,Dr Kenneth Kaunda,92.072503782,1089.0,48.40764,48.4
26.6162499087,-29.21958301463,13714.0,154880.4,Mangaung,96.171250203,525.0,48.64846,48.6
30.641249892599998,-29.60291634643,13437.0,159231.0,Umgungundlovu,94.460073687,744.0,48.88442,48.9
31.982916553899997,-28.64458301693,13416.0,133066.11,Uthungulu,90.292884192,1302.0,49.120007,49.1
